regime,split_seed,target,horizon_k,n_train,n_test,r2,mae,per_r2,per_mae,var_test
random_pairs,0,Caffeine,2,866,337,0.41478821850257663,14.33681936914914,0.18475783281616565,18.435905044510385,1860.847847564036
random_pairs,0,Caffeine,3,848,325,0.5543025988581927,13.660075999920185,-0.2906600548572529,21.437846153846152,1291.4959596686392
random_pairs,0,Metoprolol,1,878,362,0.37166615539960557,13.898667248807724,0.2182837061931523,14.819060773480663,1408.6659164860657
random_pairs,0,Metoprolol,2,878,335,0.32990282335154064,16.715466838665865,0.0699345848307944,19.853134328358205,2318.8333971931393
random_pairs,0,Metoprolol,3,858,311,0.28757173193225427,14.888190122758461,-0.0874142587887381,17.685209003215434,1757.94492075144
random_pairs,0,Atrazine,1,877,364,0.22354868005881623,0.18908981887390516,-0.2807828307026139,0.2008241758241758,0.5568580938292478
random_pairs,0,Atrazine,2,877,327,0.19232947734993766,0.18849869530121277,-0.5078081949623756,0.23853211009174313,0.5777063284983492
random_pairs,0,Atrazine,3,849,316,0.10654639780064157,0.17817385464963242,-0.7035197692172044,0.2474683544303797,0.5315502323345618
random_pairs,1,temperature,1,855,325,0.9743754299523676,0.7452349588753016,0.954467924135236,1.0437646019066666,39.939575088559664
random_pairs,1,temperature,2,840,314,0.9773152003454982,0.7108510266081057,0.9278471822367795,1.3232424231330149,39.914530740088885
random_pairs,1,temperature,3,829,309,0.9775853563352196,0.7058402209391499,0.8898198422588559,1.6725761606309757,39.04401125223863
random_pairs,1,salinity,1,856,320,0.8636333998600954,1.434407992451148,0.7324512359969304,1.9255279424042424,28.88166952036816
random_pairs,1,salinity,2,838,312,0.8466548384300089,1.5389546861012717,0.6680157926218546,2.16141598054686,29.69951576323996
random_pairs,1,salinity,3,837,285,0.8559086652229777,1.4962530720342593,0.622304194179812,2.408600839723059,28.219134473954142
random_pairs,1,Chl_a_log1p,1,982,410,0.685867011417828,0.38811778131988867,0.5528644655454811,0.4398483859084485,0.8934447641289058
random_pairs,1,Chl_a_log1p,2,963,396,0.6868449219617203,0.3801496323055607,0.4674419599573876,0.49031111510118175,0.8723721982248049
random_pairs,1,Chl_a_log1p,3,942,389,0.6286667889027355,0.38733371982666226,0.33493169636491504,0.5269093959435558,0.8250461799243544
random_pairs,1,Caffeine,1,885,355,0.513716685713737,13.512336596905346,-0.192042469539478,19.820845070422536,1451.4488065066455
random_pairs,1,Caffeine,2,870,340,0.5398628485435175,13.943874073309058,0.36053536228792327,18.266176470588235,1515.5081231833913
random_pairs,1,Caffeine,3,841,321,0.6078801737948644,11.362871621033856,-0.3344752388724872,18.40809968847352,958.2727652099651
random_pairs,1,Metoprolol,1,890,359,0.415526942967716,13.993230461277339,-0.13466025480601096,14.404456824512534,1101.5918901932791
random_pairs,1,Metoprolol,2,868,349,0.21464048502658584,16.52741781182822,-0.011352990597228496,18.46733524355301,1554.234418765035
random_pairs,1,Metoprolol,3,856,308,0.40522822408866,15.61975249044307,0.28588047653737403,18.00616883116883,2190.1254338842973
random_pairs,1,Atrazine,1,876,359,0.17258033277496754,0.20059362991076105,-0.2619535529496515,0.22785515320334265,0.6643544044506172
random_pairs,1,Atrazine,2,853,343,0.18146813413274743,0.17277688223351612,-0.30990250036443023,0.20087463556851315,0.5679322391180545
