emb_target,input,strategy,fold,pred_target,emb_r2,raw_r2,emb_wins,n_test,seed,model_path
Chl_a_log1p,18S,random_kfold,2,salinity,0.8879987597465515,0.7622639536857605,True,228,42,auto
Chl_a_log1p,18S,random_kfold,2,Chl_a_log1p,0.8371405601501465,0.7010879516601562,True,287,42,auto
Chl_a_log1p,18S,random_kfold,3,temperature,0.8818427324295044,0.873733639717102,True,223,42,auto
Chl_a_log1p,18S,random_kfold,3,salinity,0.8761664628982544,0.8286818265914917,True,222,42,auto
Chl_a_log1p,18S,random_kfold,3,Chl_a_log1p,0.8309626579284668,0.7537136077880859,True,287,42,auto
Chl_a_log1p,18S,random_kfold,4,temperature,0.8613317012786865,-0.0659362077713012,True,234,42,auto
Chl_a_log1p,18S,random_kfold,4,salinity,0.8754085302352905,0.8058619499206543,True,233,42,auto
Chl_a_log1p,18S,random_kfold,4,Chl_a_log1p,0.7283693552017212,0.3327445983886719,True,287,42,auto
Chl_a_log1p,18S,temporal_blocked_kfold,0,temperature,0.5696536302566528,-21.778270721435547,True,132,42,auto
Chl_a_log1p,18S,temporal_blocked_kfold,0,salinity,0.8746728897094727,-5.890929698944092,True,132,42,auto
Chl_a_log1p,18S,temporal_blocked_kfold,0,Chl_a_log1p,0.7478746771812439,-113629.765625,True,288,42,auto
Chl_a_log1p,18S,temporal_blocked_kfold,1,temperature,-1.2295253276824951,-9531.1455078125,True,241,42,auto
Chl_a_log1p,18S,temporal_blocked_kfold,1,salinity,0.7656992673873901,-1050.6241455078125,True,241,42,auto
Chl_a_log1p,18S,temporal_blocked_kfold,1,Chl_a_log1p,0.736625075340271,-377.7881774902344,True,288,42,auto
Chl_a_log1p,18S,temporal_blocked_kfold,2,temperature,0.4431500434875488,-3376.69580078125,True,239,42,auto
Chl_a_log1p,18S,temporal_blocked_kfold,2,salinity,0.5920064449310303,-406.3663330078125,True,232,42,auto
Chl_a_log1p,18S,temporal_blocked_kfold,2,Chl_a_log1p,0.5402824878692627,-255.19741821289065,True,287,42,auto
Chl_a_log1p,18S,temporal_blocked_kfold,3,temperature,-1.7781496047973633,-276.1275329589844,True,286,42,auto
Chl_a_log1p,18S,temporal_blocked_kfold,3,salinity,0.7566075921058655,-2.4274497032165527,True,287,42,auto
Chl_a_log1p,18S,temporal_blocked_kfold,3,Chl_a_log1p,0.4269413948059082,-1.9195902347564695,True,287,42,auto
Chl_a_log1p,18S,temporal_blocked_kfold,4,temperature,0.4013193845748901,-13.444965362548828,True,243,42,auto
Chl_a_log1p,18S,temporal_blocked_kfold,4,salinity,0.6676028966903687,-0.0250589847564697,True,243,42,auto
Chl_a_log1p,18S,temporal_blocked_kfold,4,Chl_a_log1p,0.8450428247451782,-2.7607171535491943,True,287,42,auto
Chl_a_log1p,16S+18S,random_kfold,0,temperature,0.927360773086548,0.8799746036529541,True,229,42,auto
Chl_a_log1p,16S+18S,random_kfold,0,salinity,0.8702841401100159,0.8583424687385559,True,229,42,auto
Chl_a_log1p,16S+18S,random_kfold,0,Chl_a_log1p,0.746290922164917,0.7112768888473511,True,288,42,auto
Chl_a_log1p,16S+18S,random_kfold,1,temperature,0.939555287361145,0.7840670347213745,True,225,42,auto
Chl_a_log1p,16S+18S,random_kfold,1,salinity,0.8982986211776733,0.8520162105560303,True,223,42,auto
Chl_a_log1p,16S+18S,random_kfold,1,Chl_a_log1p,0.7995915412902832,0.6483834981918335,True,288,42,auto
Chl_a_log1p,16S+18S,random_kfold,2,temperature,0.9238569736480712,0.8819290995597839,True,230,42,auto
Chl_a_log1p,16S+18S,random_kfold,2,salinity,0.9217671751976012,0.8387473225593567,True,228,42,auto
Chl_a_log1p,16S+18S,random_kfold,2,Chl_a_log1p,0.8460693955421448,0.6983640193939209,True,287,42,auto
Chl_a_log1p,16S+18S,random_kfold,3,temperature,0.9276400208473206,0.9011430144309998,True,223,42,auto
Chl_a_log1p,16S+18S,random_kfold,3,salinity,0.9173411130905152,0.8778691291809082,True,222,42,auto
Chl_a_log1p,16S+18S,random_kfold,3,Chl_a_log1p,0.8476597666740417,0.72257399559021,True,287,42,auto
Chl_a_log1p,16S+18S,random_kfold,4,temperature,0.934262216091156,0.5863833427429199,True,234,42,auto
Chl_a_log1p,16S+18S,random_kfold,4,salinity,0.9189309477806092,0.8774258494377136,True,233,42,auto
Chl_a_log1p,16S+18S,random_kfold,4,Chl_a_log1p,0.7368295192718506,0.5979166626930237,True,287,42,auto
Chl_a_log1p,16S+18S,temporal_blocked_kfold,0,temperature,0.7052528262138367,-20.59815216064453,True,132,42,auto
