r2,rmse,mae,features,model,target,input,strategy,fold,n_train,n_test,seed,model_path
0.35578835010528564,0.8345395458146936,0.6263657212257385,raw,knn,Chl_a_log1p,16S,temporal_blocked_kfold,0,1149,288,42,...
0.689464807510376,0.5392956436852727,0.3976435363292694,embedding,ridge,Chl_a_log1p,16S,temporal_blocked_kfold,1,1149,288,42,...
0.6821292042732239,0.5456282163527381,0.3969974219799042,embedding,knn,Chl_a_log1p,16S,temporal_blocked_kfold,1,1149,288,42,...
-133.68280029296875,11.231236726459011,4.374374866485596,raw,ridge,Chl_a_log1p,16S,temporal_blocked_kfold,1,1149,288,42,...
0.5924057364463806,0.6178535537316227,0.4328690767288208,raw,knn,Chl_a_log1p,16S,temporal_blocked_kfold,1,1149,288,42,...
0.4829205274581909,0.6385476694452388,0.4193197786808014,embedding,ridge,Chl_a_log1p,16S,temporal_blocked_kfold,2,1150,287,42,...
0.45698434114456177,0.6543661963336078,0.4474339485168457,embedding,knn,Chl_a_log1p,16S,temporal_blocked_kfold,2,1150,287,42,...
-0.33147096633911133,1.0246617224203174,0.6334860324859619,raw,ridge,Chl_a_log1p,16S,temporal_blocked_kfold,2,1150,287,42,...
0.31789904832839966,0.7333967714252672,0.5058701634407043,raw,knn,Chl_a_log1p,16S,temporal_blocked_kfold,2,1150,287,42,...
0.31297963857650757,0.550902224843284,0.4377284646034241,embedding,ridge,Chl_a_log1p,16S,temporal_blocked_kfold,3,1150,287,42,...
0.26902836561203003,0.5682507178406517,0.41954731941223145,embedding,knn,Chl_a_log1p,16S,temporal_blocked_kfold,3,1150,287,42,...
-44.22444152832031,4.4696790889780065,1.681022047996521,raw,ridge,Chl_a_log1p,16S,temporal_blocked_kfold,3,1150,287,42,...
0.33598053455352783,0.5416018618429123,0.4203377664089203,raw,knn,Chl_a_log1p,16S,temporal_blocked_kfold,3,1150,287,42,...
0.8133829236030579,0.39337616082508997,0.29633355140686035,embedding,ridge,Chl_a_log1p,16S,temporal_blocked_kfold,4,1150,287,42,...
0.7783955335617065,0.4286685131866519,0.3271902799606323,embedding,knn,Chl_a_log1p,16S,temporal_blocked_kfold,4,1150,287,42,...
-0.26106953620910645,1.0225908111314603,0.6956496238708496,raw,ridge,Chl_a_log1p,16S,temporal_blocked_kfold,4,1150,287,42,...
0.5896049737930298,0.583355644912003,0.4362277388572693,raw,knn,Chl_a_log1p,16S,temporal_blocked_kfold,4,1150,287,42,...
0.3889811635017395,0.3170324651357377,0.21584749221801758,embedding,ridge,Chl_a_log1p,16S,leave_one_site_out,0,1337,100,42,...
0.2450188398361206,0.352406971032184,0.2352036088705063,embedding,knn,Chl_a_log1p,16S,leave_one_site_out,0,1337,100,42,...
-0.17666172981262207,0.4399489255002194,0.35224810242652893,raw,ridge,Chl_a_log1p,16S,leave_one_site_out,0,1337,100,42,...
0.1420326828956604,0.37567457481289646,0.25493693351745605,raw,knn,Chl_a_log1p,16S,leave_one_site_out,0,1337,100,42,...
0.2008659839630127,0.32893294817286395,0.25823861360549927,embedding,ridge,Chl_a_log1p,16S,leave_one_site_out,1,1333,104,42,...
-0.08207571506500244,0.3827598496645392,0.2963372468948364,embedding,knn,Chl_a_log1p,16S,leave_one_site_out,1,1333,104,42,...
-1.0221571922302246,0.5232449362391786,0.40117865800857544,raw,ridge,Chl_a_log1p,16S,leave_one_site_out,1,1333,104,42,...
-0.035785675048828125,0.37448334866214905,0.28568917512893677,raw,knn,Chl_a_log1p,16S,leave_one_site_out,1,1333,104,42,...
0.16911786794662476,0.39050756596600106,0.2683362066745758,embedding,ridge,Chl_a_log1p,16S,leave_one_site_out,2,1337,100,42,...
-0.006418108940124512,0.4297827181652685,0.2979065775871277,embedding,knn,Chl_a_log1p,16S,leave_one_site_out,2,1337,100,42,...
-0.6417983770370483,0.5489334059767497,0.3998918831348419,raw,ridge,Chl_a_log1p,16S,leave_one_site_out,2,1337,100,42,...
-0.07455921173095703,0.4440940114490893,0.30742016434669495,raw,knn,Chl_a_log1p,16S,leave_one_site_out,2,1337,100,42,...
0.19947832822799683,0.3656370014275042,0.24464157223701477,embedding,ridge,Chl_a_log1p,16S,leave_one_site_out,3,1337,100,42,...
0.17188620567321777,0.3718849581499093,0.2687465250492096,embedding,knn,Chl_a_log1p,16S,leave_one_site_out,3,1337,100,42,...
-0.5125929117202759,0.5026024800273945,0.4118947982788086,raw,ridge,Chl_a_log1p,16S,leave_one_site_out,3,1337,100,42,...
-0.18392479419708252,0.4446575468085865,0.31304803490638733,raw,knn,Chl_a_log1p,16S,leave_one_site_out,3,1337,100,42,...
0.10586303472518921,0.4620563376681528,0.27499496936798096,embedding,ridge,Chl_a_log1p,16S,leave_one_site_out,4,1331,106,42,...
-0.019010543823242188,0.4932672222754079,0.3035461902618408,embedding,knn,Chl_a_log1p,16S,leave_one_site_out,4,1331,106,42,...
-0.47958827018737793,0.5943788410788691,0.43186816573143005,raw,ridge,Chl_a_log1p,16S,leave_one_site_out,4,1331,106,42,...
-0.0005178451538085938,0.4887708879236682,0.31640690565109253,raw,knn,Chl_a_log1p,16S,leave_one_site_out,4,1331,106,42,...
0.34932518005371094,0.586448649930087,0.4298824965953827,embedding,ridge,Chl_a_log1p,16S,leave_one_site_out,5,1334,103,42,...
0.10436689853668213,0.6880390264939071,0.5461560487747192,embedding,knn,Chl_a_log1p,16S,leave_one_site_out,5,1334,103,42,...
-44.68472671508789,4.9139815719563265,2.6507585048675537,raw,ridge,Chl_a_log1p,16S,leave_one_site_out,5,1334,103,42,...
-0.14367449283599854,0.777497894492779,0.6086007356643677,raw,knn,Chl_a_log1p,16S,leave_one_site_out,5,1334,103,42,...
